epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,1590.96,0.08464,0.9583,1,0.21353,0.000367967,0.000367967,0.000367967
77,1611.33,0.09644,0.96192,1,0.19881,0.00035382,0.00035382,0.00035382
78,1632.27,0.06838,0.95195,1,0.23844,0.000339673,0.000339673,0.000339673
79,1652.71,0.07502,0.95558,1,0.22014,0.000325526,0.000325526,0.000325526
80,1673.21,0.07557,0.96646,1,0.1943,0.000311379,0.000311379,0.000311379
81,1693.53,0.08234,0.96011,1,0.21013,0.000297232,0.000297232,0.000297232
82,1713.39,0.07917,0.9592,1,0.20734,0.000283085,0.000283085,0.000283085
83,1734.06,0.05739,0.95467,1,0.22926,0.000268938,0.000268938,0.000268938
84,1757.03,0.06032,0.96283,1,0.19809,0.000254791,0.000254791,0.000254791
85,22.5065,0.10606,0.9447,1,0.20832,0.000240644,0.000240644,0.000240644
86,22.3079,0.10993,0.96192,1,0.19459,0.000226497,0.000226497,0.000226497
87,46.5071,0.0974,0.96374,1,0.18608,0.000212349,0.000212349,0.000212349
88,70.1169,0.08632,0.95467,1,0.20382,0.000198202,0.000198202,0.000198202
89,97.3303,0.08771,0.95014,1,0.22063,0.000184055,0.000184055,0.000184055
90,22.6598,0.07748,0.96283,1,0.19093,0.000169908,0.000169908,0.000169908
91,46.6564,0.07664,0.95648,1,0.19845,0.000155761,0.000155761,0.000155761
92,23.8671,0.11479,0.96011,1,0.19761,0.000141614,0.000141614,0.000141614
93,49.3789,0.09675,0.95739,1,0.21419,0.000127467,0.000127467,0.000127467
94,72.5723,0.09285,0.95467,1,0.20577,0.00011332,0.00011332,0.00011332
95,94.7541,0.08885,0.95648,1,0.21536,9.91726e-05,9.91726e-05,9.91726e-05
96,116.969,0.08065,0.95195,1,0.20113,8.50255e-05,8.50255e-05,8.50255e-05
97,137.781,0.06801,0.95739,1,0.20572,7.08784e-05,7.08784e-05,7.08784e-05
98,158.55,0.08976,0.95286,1,0.20773,5.67313e-05,5.67313e-05,5.67313e-05
99,179.771,0.06184,0.95467,1,0.21433,4.25842e-05,4.25842e-05,4.25842e-05
100,201.34,0.06547,0.95739,1,0.21546,2.84371e-05,2.84371e-05,2.84371e-05
